Year,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape_legacyrevised
1979," 217,691,000 "," 1,199,867 "," 21,154 "," 478,797 "," 624,079 "," 10,977,316 "," 3,304,284 "," 6,564,301 "," 1,108,731 "," 75,837 "
1980," 222,877,773 "," 1,335,465 "," 22,679 "," 563,581 "," 666,878 "," 11,985,606 "," 3,765,518 "," 7,092,914 "," 1,127,174 "," 82,327 "
1981," 226,616,000 "," 1,353,533 "," 22,197 "," 590,570 "," 658,978 "," 11,979,097 "," 3,749,996 "," 7,145,908 "," 1,083,193 "," 81,788 "
1982," 228,984,000 "," 1,314,381 "," 20,654 "," 550,976 "," 664,700 "," 11,567,639 "," 3,416,887 "," 7,092,335 "," 1,058,417 "," 78,051 "
1983," 231,393,000 "," 1,250,396 "," 19,018 "," 504,666 "," 648,437 "," 10,774,122 "," 3,103,328 "," 6,666,560 "," 1,004,234 "," 78,275 "
1984," 233,563,000 "," 1,265,468 "," 18,437 "," 483,204 "," 680,340 "," 10,535,501 "," 2,958,917 "," 6,548,227 "," 1,028,357 "," 83,487 "
1985," 236,126,000 "," 1,321,678 "," 18,700 "," 496,233 "," 718,774 "," 11,024,296 "," 3,046,644 "," 6,878,865 "," 1,098,787 "," 87,971 "
1986," 238,433,000 "," 1,481,973 "," 20,318 "," 541,078 "," 829,796 "," 11,642,088 "," 3,213,168 "," 7,208,723 "," 1,220,197 "," 90,781 "
1987," 240,774,000 "," 1,476,918 "," 19,827 "," 516,208 "," 850,539 "," 11,941,527 "," 3,204,647 "," 7,452,418 "," 1,284,462 "," 90,344 "
1988," 243,183,000 "," 1,557,677 "," 20,450 "," 540,940 "," 904,752 "," 12,271,025 "," 3,184,426 "," 7,658,054 "," 1,428,545 "," 91,535 "
1989," 245,622,000 "," 1,637,881 "," 21,247 "," 576,273 "," 946,874 "," 12,521,432 "," 3,138,152 "," 7,823,176 "," 1,560,104 "," 93,487 "
1990," 246,136,657 "," 1,811,369 "," 23,125 "," 637,054 "," 1,049,769 "," 12,564,683 "," 3,041,713 "," 7,892,404 "," 1,630,566 "," 101,421 "
1991," 249,589,000 "," 1,901,682 "," 24,371 "," 684,717 "," 1,087,200 "," 12,861,799 "," 3,122,626 "," 8,084,855 "," 1,654,318 "," 105,394 "
1992," 252,467,000 "," 1,921,511 "," 23,440 "," 669,224 "," 1,120,951 "," 12,404,736 "," 2,946,351 "," 7,856,348 "," 1,602,037 "," 107,896 "
1993," 255,261,000 "," 1,914,550 "," 24,169 "," 656,187 "," 1,129,305 "," 12,113,469 "," 2,800,823 "," 7,758,442 "," 1,554,204 "," 104,889 "
1994," 257,672,000 "," 1,844,493 "," 22,917 "," 614,613 "," 1,105,959 "," 12,015,949 "," 2,678,281 "," 7,809,191 "," 1,528,477 "," 101,004 "
1995," 260,057,000 "," 1,785,232 "," 21,258 "," 576,979 "," 1,090,579 "," 11,955,740 "," 2,563,279 "," 7,929,743 "," 1,462,718 "," 96,416 "
1996," 262,568,000 "," 1,675,279 "," 19,344 "," 531,948 "," 1,028,716 "," 11,695,742 "," 2,475,645 "," 7,835,386 "," 1,384,711 "," 95,271 "
1997," 264,906,000 "," 1,623,288 "," 17,853 "," 494,793 "," 1,015,557 "," 11,444,831 "," 2,428,597 "," 7,671,873 "," 1,344,861 "," 95,088 "
1998," 267,544,000 "," 1,522,585 "," 16,659 "," 443,792 "," 970,016 "," 10,842,482 "," 2,301,237 "," 7,307,786 "," 1,233,459 "," 92,118 "
1999," 269,922,194 "," 1,416,373 "," 15,309 "," 406,280 "," 906,529 "," 10,099,774 "," 2,071,630 "," 6,889,601 "," 1,138,543 "," 88,255 "
2000," 278,577,248 "," 1,415,219 "," 15,331 "," 405,313 "," 905,416 "," 10,078,940 "," 2,024,074 "," 6,901,832 "," 1,153,034 "," 89,159 "
2001," 282,457,826 "," 1,429,474 "," 15,755 "," 420,263 "," 903,740 "," 10,327,580 "," 2,086,710 "," 7,021,952 "," 1,218,918 "," 89,716 "
2002," 285,107,191 "," 1,413,819 "," 15,965 "," 417,450 "," 886,296 "," 10,345,693 "," 2,121,659 "," 6,986,911 "," 1,237,123 "," 94,108 "
2003," 287,906,382 "," 1,374,340 "," 16,261 "," 411,219 "," 854,056 "," 10,335,995 "," 2,125,270 "," 6,958,495 "," 1,252,230 "," 92,804 "
2004," 290,756,074 "," 1,351,520 "," 15,921 "," 398,967 "," 842,704 "," 10,218,406 "," 2,116,785 "," 6,871,649 "," 1,229,972 "," 93,928 "
2005," 293,598,565 "," 1,382,614 "," 16,526 "," 415,033 "," 857,855 "," 10,079,523 "," 2,128,582 "," 6,722,574 "," 1,228,367 "," 93,200 "
2006," 296,487,944 "," 1,426,047 "," 17,078 "," 445,987 "," 869,549 "," 9,926,748 "," 2,167,876 "," 6,568,957 "," 1,189,915 "," 93,433 "
2007," 298,702,372 "," 1,414,468 "," 16,926 "," 444,428 "," 861,987 "," 9,791,325 "," 2,162,975 "," 6,535,069 "," 1,093,281 "," 91,127 "
2008," 301,121,106 "," 1,385,519 "," 16,229 "," 440,484 "," 839,014 "," 9,688,664 "," 2,203,381 "," 6,532,476 "," 952,807 "," 89,792 "
2009," 304,054,554 "," 1,317,445 "," 15,205 "," 405,773 "," 808,217 "," 9,249,733 "," 2,173,754 "," 6,285,766 "," 790,213 "," 88,250 "
2010," 306,360,147 "," 1,243,249 "," 14,518 "," 366,312 "," 777,757 "," 9,024,029 "," 2,138,006 "," 6,151,817 "," 734,206 "," 84,662 "
2011," 308,610,359 "," 1,198,022 "," 14,429 "," 352,276 "," 748,005 "," 8,962,934 "," 2,154,418 "," 6,096,916 "," 711,600 "," 83,312 "
2012," 310,887,235 "," 1,209,298 "," 14,643 "," 352,774 "," 757,549 "," 8,918,059 "," 2,081,848 "," 6,117,354 "," 718,857 "," 84,322 "
2013," 313,505,325 "," 1,191,381 "," 14,102 "," 342,680 "," 722,128 "," 8,570,344 "," 1,907,170 "," 5,967,273 "," 695,901 "," 81,383 "
2014," 315,913,958 "," 1,177,854 "," 13,905 "," 320,500 "," 726,504 "," 8,122,123 "," 1,689,255 "," 5,750,539 "," 682,329 "," 84,096 "
2015," 317,913,674 "," 1,226,664 "," 15,620 "," 325,797 "," 759,590 "," 7,938,330 "," 1,562,496 "," 5,667,042 "," 708,792 "," 90,410 "
2016," 320,420,520 "," 1,277,195 "," 17,176 "," 330,364 "," 798,523 "," 7,846,009 "," 1,492,916 "," 5,590,110 "," 762,983 "," 96,060 "
2017," 322,157,458 "," 1,276,214 "," 17,104 "," 318,104 "," 805,998 "," 7,600,224 "," 1,374,596 "," 5,457,032 "," 768,596 "," 135,008 "
2018," 323,706,481 "," 1,244,470 "," 16,160 "," 279,578 "," 805,563 "," 7,147,383 "," 1,214,658 "," 5,185,966 "," 746,759 "," 143,169 "
2019," 325,263,374 "," 1,237,138 "," 16,093 "," 266,288 "," 815,689 "," 6,854,970 "," 1,099,036 "," 5,039,796 "," 716,138 "," 139,068 "
